lang,label,sentence
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable boot sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable boot sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable boot speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable booted notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable booted notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable booted sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable booted sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable booted speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable load notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable load notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable load sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable load sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable load speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable loaded notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable loaded notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable loaded sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable loaded sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable loaded speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable readiness notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable readiness notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable readiness sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable readiness sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable readiness speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable ready notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable ready sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable ready sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable ready speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start up notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start up notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start up sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start up sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable start up speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable started notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable started notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable started sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable started sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable started speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable startup notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable startup notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable startup sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable startup sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,disable startup speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off boot notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off boot notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off boot sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off boot sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off boot speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off booted notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off booted notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off booted sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off booted sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off booted speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off load notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off load notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off load sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off load sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off load speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off loaded notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off loaded notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off loaded sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off loaded sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off loaded speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off readiness notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off readiness notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off readiness sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off readiness sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off readiness speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off ready notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off ready sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off ready sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off ready speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start up notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start up notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start up sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start up sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off start up speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off started notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off started notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off started sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off started sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off started speech
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off startup notification
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off startup notifications
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off startup sound
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off startup sounds
en,ovos-skill-boot-finished.openvoiceos:disable_ready_notification.intent,turn off startup speech
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,has open voice os boot successfully
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,has the system boot successfully
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,has you boot successfully
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did open voice os boot successfully
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did the system boot successfully
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did you boot successfully
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,has the system finished boot sequence
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,has the system finished loading
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,has the system finished start up
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,has the system finished starting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have you finished boot sequence
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have you finished loading
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have you finished start up
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have you finished starting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,are all services fully loaded
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,are all services ready
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,are all services still loading
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,are all services up and running
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,are you fully loaded
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,are you ready
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,are you still loading
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did open voice os finish booting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did all services finish booting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did the device finish booting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did the system finish booting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,did you finish booting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have all services started
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have you started
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have you finished booting
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,have you finished the boot sequence
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is open voice os ready
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is the device ready
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is open voice os system ready
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is your system ready
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is everything fully loaded
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is everything still loading
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is everything up and running
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is the boot process complete
en,ovos-skill-boot-finished.openvoiceos:are_you_ready.intent,is the boot sequence complete
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate boot notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate boot notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate boot sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate boot sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate boot speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate booted notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate booted notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate booted sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate booted sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate booted speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate load notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate load notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate load sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate load sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate load speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate loaded notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate loaded notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate loaded sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate loaded sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate loaded speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate readiness notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate readiness notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate readiness sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate readiness sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate readiness speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate ready notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate ready notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate ready sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate ready sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate ready speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start up notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start up notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start up sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start up sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate start up speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate started notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate started notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate started sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate started sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate started speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate startup notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate startup notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate startup sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate startup sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,activate startup speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable boot notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable boot notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable boot sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable boot sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable boot speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable booted notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable booted notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable booted sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable booted sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable booted speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable load notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable load notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable load sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable load sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable load speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable loaded notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable loaded notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable loaded sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable loaded sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable loaded speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable readiness notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable readiness notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable readiness sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable readiness sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable readiness speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable ready notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable ready sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable ready sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable ready speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start up notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start up notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start up sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start up sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable start up speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable started notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable started notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable started sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable started sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable started speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable startup notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable startup notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable startup sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable startup sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,enable startup speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on boot notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on boot notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on boot sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on boot sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on boot speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on booted notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on booted notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on booted sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on booted sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on booted speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on load notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on load notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on load sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on load sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on load speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on loaded notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on loaded notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on loaded sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on loaded sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on loaded speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on readiness notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on readiness notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on readiness sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on readiness sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on readiness speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on ready notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on ready sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on ready sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on ready speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start up notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start up notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start up sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start up sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on start up speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on started notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on started notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on started sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on started sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on started speech
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on startup notification
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on startup notifications
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on startup sound
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on startup sounds
en,ovos-skill-boot-finished.openvoiceos:enable_ready_notification.intent,turn on startup speech
en,ovos-skill-camera.openvoiceos:have_camera.intent,can i use the camera
en,ovos-skill-camera.openvoiceos:have_camera.intent,can you access the camera
en,ovos-skill-camera.openvoiceos:have_camera.intent,do you have a camera
en,ovos-skill-camera.openvoiceos:have_camera.intent,is a camera available
en,ovos-skill-camera.openvoiceos:have_camera.intent,is the camera working
en,ovos-skill-camera.openvoiceos:have_camera.intent,is there a camera
en,ovos-skill-camera.openvoiceos:take_picture.intent,take a photo
en,ovos-skill-camera.openvoiceos:take_picture.intent,take a picture
en,ovos-skill-confucius-quotes.openvoiceos:who.intent,who was confucius
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the coming saturday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the coming sunday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the coming weekend is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the forthcoming saturday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the forthcoming sunday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the forthcoming weekend is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the next saturday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the next sunday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the next weekend is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the upcoming saturday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the upcoming sunday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,can you tell me when the upcoming weekend is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the coming saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the coming sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the coming weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the forthcoming saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the forthcoming sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the forthcoming weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the next saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the next sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the next weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the upcoming saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the upcoming sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,date of the upcoming weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the coming saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the coming sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the coming weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the forthcoming saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the forthcoming sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the forthcoming weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the next saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the next sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the next weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the upcoming saturday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the upcoming sunday
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,do you remember the date of the upcoming weekend
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the coming saturday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the coming sunday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the coming weekend is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the forthcoming saturday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the forthcoming sunday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the forthcoming weekend is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the next saturday is
en,ovos-skill-date-time.openvoiceos:date.future.weekend.intent,tell me when the next sunday is
